Store Name,City,State,Country,Continent
"Jones, Terrell and Reynolds Store",New York,NY,USA,North America
"Wilson, Richardson and Franklin Store",London,,UK,Europe
"Hamilton, Barnes and Hale Store",Tokyo,,Japan,Asia
"Wilson, Phillips and Summers Store",Berlin,,Germany,Europe
Lewis LLC Store,Paris,,France,Europe
"Mathews, Miller and Webb Store",Sydney,,Australia,Australia
Norris-Nelson Store,Toronto,ON,Canada,North America
"Ramirez, Marshall and West Store",Mumbai,,India,Asia
"Osborne, Nelson and Gates Store",Ṣo Paulo,,Brazil,South America
"Mathews, Weeks and Thomas Store",Cape Town,,South Africa,Africa
